platform,mean_scope,method,label,k,k_label,psnr,ssim,bpp,compress_ms,decompress_ms
c,dataset_mean,loeffler,Loeffler,0.1,k=0.1,43.95111851,0.98409933,14.82790685,13.57175100,8.55987500
c,dataset_mean,loeffler,Loeffler,0.2,k=0.2,41.28211193,0.97699069,10.67228425,12.79768100,7.94767700
c,dataset_mean,loeffler,Loeffler,0.5,k=0.5,37.53217723,0.96338411,7.54011058,12.84083000,7.51364100
c,dataset_mean,loeffler,Loeffler,0.8,k=0.8,33.96406861,0.93901339,6.08554987,12.71870900,7.58280200
c,dataset_mean,matrix,Matrix,0.1,k=0.1,43.95110855,0.98409927,14.82791448,16.12808400,14.91331300
c,dataset_mean,matrix,Matrix,0.2,k=0.2,41.28211242,0.97699074,10.67229188,16.10022400,14.46615000
c,dataset_mean,matrix,Matrix,0.5,k=0.5,37.53217718,0.96338411,7.54011058,16.35118000,14.69655700
c,dataset_mean,matrix,Matrix,0.8,k=0.8,33.96406618,0.93901336,6.08554135,16.25117900,14.10704300
c,dataset_mean,rdct,RDCT,0.1,k=0.1,42.04989004,0.98108597,17.20385867,5.29480100,4.22171800
c,dataset_mean,rdct,RDCT,0.2,k=0.2,38.55479522,0.96867789,12.25712412,5.29461600,4.02564400
c,dataset_mean,rdct,RDCT,0.5,k=0.5,34.62425454,0.94435012,7.94253928,5.37396100,3.80905300
c,dataset_mean,rdct,RDCT,0.8,k=0.8,32.46382780,0.92131731,6.34779528,5.30861500,3.66495400
c,dataset_mean,silveira_j3,Silveira j=3,0.1,k=0.1,41.93072626,0.98075294,18.13942539,5.15927900,3.90732000
c,dataset_mean,silveira_j3,Silveira j=3,0.2,k=0.2,38.26458799,0.96680039,12.81339692,5.24695600,3.71060500
c,dataset_mean,silveira_j3,Silveira j=3,0.5,k=0.5,34.07220214,0.93737244,8.14299261,5.20271400,3.54819200
c,dataset_mean,silveira_j3,Silveira j=3,0.8,k=0.8,32.12804007,0.91352792,6.42628491,5.29181500,3.46933000
c,dataset_mean,silveira_j7,Silveira j=7,0.1,k=0.1,42.64843284,0.98298469,16.51291347,5.83089000,4.43125300
c,dataset_mean,silveira_j7,Silveira j=7,0.2,k=0.2,39.19794467,0.97197681,11.84727681,5.81107600,4.18931000
c,dataset_mean,silveira_j7,Silveira j=7,0.5,k=0.5,35.27514638,0.94967026,7.83181074,5.83356200,3.99782800
c,dataset_mean,silveira_j7,Silveira j=7,0.8,k=0.8,33.02074668,0.92705488,6.29365766,5.80816400,3.84003500
