platform,mean_scope,method,label,k,k_label,psnr,ssim,bpp,compress_ms,decompress_ms
python,dataset_mean,loeffler,Loeffler,0.1,k=0.1,43.95111632,0.98409935,14.82790685,2966.19858700,3303.02501400
python,dataset_mean,loeffler,Loeffler,0.2,k=0.2,41.31491870,0.97714642,10.68623045,2939.61204300,3277.60558500
python,dataset_mean,loeffler,Loeffler,0.5,k=0.5,37.53217812,0.96338411,7.54011058,2994.84997300,3362.16172400
python,dataset_mean,loeffler,Loeffler,0.8,k=0.8,33.96406861,0.93901339,6.08554987,3016.72695500,3386.22449100
python,dataset_mean,matrix,Matrix,0.1,k=0.1,43.95110855,0.98409927,14.82791448,6983.40865200,7179.70166300
python,dataset_mean,matrix,Matrix,0.2,k=0.2,41.31490506,0.97714627,10.68623045,7064.31265000,7286.57963900
python,dataset_mean,matrix,Matrix,0.5,k=0.5,37.53217718,0.96338411,7.54011058,7101.55488100,7233.29196600
python,dataset_mean,matrix,Matrix,0.8,k=0.8,33.96406618,0.93901336,6.08554135,7145.85618400,7294.10489300
python,dataset_mean,rdct,RDCT,0.1,k=0.1,42.04989004,0.98108597,17.20385867,1015.84422800,1404.56560600
python,dataset_mean,rdct,RDCT,0.2,k=0.2,38.61135135,0.96896903,12.34181376,1030.56135600,1368.84100400
python,dataset_mean,rdct,RDCT,0.5,k=0.5,34.62425454,0.94435012,7.94253928,1052.66130600,1353.73914500
python,dataset_mean,rdct,RDCT,0.8,k=0.8,32.46382780,0.92131731,6.34779528,1069.51891600,1363.51824400
python,dataset_mean,silveira_j3,Silveira j=3,0.1,k=0.1,41.93072626,0.98075294,18.13942539,997.77560700,1383.59166800
python,dataset_mean,silveira_j3,Silveira j=3,0.2,k=0.2,38.31780155,0.96711401,12.90143057,997.01597400,1345.50598400
python,dataset_mean,silveira_j3,Silveira j=3,0.5,k=0.5,34.07220214,0.93737244,8.14299261,1013.86979700,1314.96112400
python,dataset_mean,silveira_j3,Silveira j=3,0.8,k=0.8,32.12804007,0.91352792,6.42628491,1011.12123100,1324.42710900
python,dataset_mean,silveira_j7,Silveira j=7,0.1,k=0.1,42.64843284,0.98298469,16.51291347,1204.22998900,1638.92853100
python,dataset_mean,silveira_j7,Silveira j=7,0.2,k=0.2,39.25468828,0.97221670,11.93250126,1199.54228200,1643.10359800
python,dataset_mean,silveira_j7,Silveira j=7,0.5,k=0.5,35.27514638,0.94967026,7.83181074,1196.25943400,1592.93824100
python,dataset_mean,silveira_j7,Silveira j=7,0.8,k=0.8,33.02074668,0.92705488,6.29365766,1206.80138600,1598.92581600
c,dataset_mean,loeffler,Loeffler,0.1,k=0.1,43.95111851,0.98409933,14.82790685,13.57175100,8.55987500
c,dataset_mean,loeffler,Loeffler,0.2,k=0.2,41.28211193,0.97699069,10.67228425,12.79768100,7.94767700
c,dataset_mean,loeffler,Loeffler,0.5,k=0.5,37.53217723,0.96338411,7.54011058,12.84083000,7.51364100
c,dataset_mean,loeffler,Loeffler,0.8,k=0.8,33.96406861,0.93901339,6.08554987,12.71870900,7.58280200
c,dataset_mean,matrix,Matrix,0.1,k=0.1,43.95110855,0.98409927,14.82791448,16.12808400,14.91331300
c,dataset_mean,matrix,Matrix,0.2,k=0.2,41.28211242,0.97699074,10.67229188,16.10022400,14.46615000
c,dataset_mean,matrix,Matrix,0.5,k=0.5,37.53217718,0.96338411,7.54011058,16.35118000,14.69655700
c,dataset_mean,matrix,Matrix,0.8,k=0.8,33.96406618,0.93901336,6.08554135,16.25117900,14.10704300
c,dataset_mean,rdct,RDCT,0.1,k=0.1,42.04989004,0.98108597,17.20385867,5.29480100,4.22171800
c,dataset_mean,rdct,RDCT,0.2,k=0.2,38.55479522,0.96867789,12.25712412,5.29461600,4.02564400
c,dataset_mean,rdct,RDCT,0.5,k=0.5,34.62425454,0.94435012,7.94253928,5.37396100,3.80905300
c,dataset_mean,rdct,RDCT,0.8,k=0.8,32.46382780,0.92131731,6.34779528,5.30861500,3.66495400
c,dataset_mean,silveira_j3,Silveira j=3,0.1,k=0.1,41.93072626,0.98075294,18.13942539,5.15927900,3.90732000
c,dataset_mean,silveira_j3,Silveira j=3,0.2,k=0.2,38.26458799,0.96680039,12.81339692,5.24695600,3.71060500
c,dataset_mean,silveira_j3,Silveira j=3,0.5,k=0.5,34.07220214,0.93737244,8.14299261,5.20271400,3.54819200
c,dataset_mean,silveira_j3,Silveira j=3,0.8,k=0.8,32.12804007,0.91352792,6.42628491,5.29181500,3.46933000
c,dataset_mean,silveira_j7,Silveira j=7,0.1,k=0.1,42.64843284,0.98298469,16.51291347,5.83089000,4.43125300
c,dataset_mean,silveira_j7,Silveira j=7,0.2,k=0.2,39.19794467,0.97197681,11.84727681,5.81107600,4.18931000
c,dataset_mean,silveira_j7,Silveira j=7,0.5,k=0.5,35.27514638,0.94967026,7.83181074,5.83356200,3.99782800
c,dataset_mean,silveira_j7,Silveira j=7,0.8,k=0.8,33.02074668,0.92705488,6.29365766,5.80816400,3.84003500
