run,image,method,method_label,k,k_label,psnr,ssim,bpp,compress_ms,decompress_ms,dct_kernel_ms,idct_kernel_ms,dct_kernel_calls,idct_kernel_calls,tx_ms,total_core_ms,compression_ratio,frame_bytes,raw_bytes,tx_raw_ms
run0001,frame_0001,loeffler,Loeffler,0.1,k=0.1,39.439999,0.959941,20.834375,647.03,337.786,283.562,251.862,3600.0,3600.0,3527.237,4816.364,1.151942,200034.0,230400.0,4059.721
run0001,frame_0001,matrix,Matrix,0.1,k=0.1,39.439999,0.959941,20.834375,1231.888,777.875,870.358,691.751,3600.0,3600.0,3527.241,5840.994,1.151942,200034.0,230400.0,4059.721
run0001,frame_0001,rdct,RDCT,0.1,k=0.1,39.32,0.958794,21.444063,406.238,174.203,44.006,88.421,3600.0,3600.0,3628.03,4514.742,1.119191,205887.0,230400.0,4059.721
run0001,frame_0001,silveira_j3,Silveira j=3,0.1,k=0.1,39.490002,0.959659,21.7325,404.902,157.309,42.405,71.367,3600.0,3600.0,3679.548,4549.038,1.104337,208656.0,230400.0,4059.721
run0001,frame_0001,silveira_j7,Silveira j=7,0.1,k=0.1,39.52,0.960569,21.091875,413.552,182.711,51.157,96.716,3600.0,3600.0,3571.495,4473.487,1.137879,202506.0,230400.0,4059.721
run0001,frame_0001,loeffler,Loeffler,0.2,k=0.2,36.970001,0.94446,13.554375,645.614,335.49,283.627,249.478,3600.0,3600.0,2301.165,3562.653,1.770646,130146.0,230400.0,4059.721
run0001,frame_0001,matrix,Matrix,0.2,k=0.2,36.970001,0.94446,13.554375,1232.006,775.443,870.284,689.415,3600.0,3600.0,2301.169,4588.713,1.770646,130146.0,230400.0,4059.721
run0001,frame_0001,rdct,RDCT,0.2,k=0.2,36.389999,0.939379,14.31625,406.241,174.51,43.993,88.491,3600.0,3600.0,2428.358,3291.628,1.676417,137460.0,230400.0,4059.721
run0001,frame_0001,silveira_j3,Silveira j=3,0.2,k=0.2,36.5,0.939028,14.519688,404.967,157.422,42.423,71.421,3600.0,3600.0,2463.564,3309.234,1.652928,139413.0,230400.0,4059.721
run0001,frame_0001,silveira_j7,Silveira j=7,0.2,k=0.2,36.700001,0.94193,14.112812,413.675,182.908,51.151,96.832,3600.0,3600.0,2393.085,3272.039,1.700582,135507.0,230400.0,4059.721
run0001,frame_0001,loeffler,Loeffler,0.5,k=0.5,33.73,0.916837,8.098125,645.919,333.385,283.651,247.483,3600.0,3600.0,1377.047,2618.987,2.963649,77766.0,230400.0,4059.721
run0001,frame_0001,matrix,Matrix,0.5,k=0.5,33.73,0.916837,8.098125,1232.357,773.524,870.426,687.577,3600.0,3600.0,1377.05,3645.327,2.963649,77766.0,230400.0,4059.721
run0001,frame_0001,rdct,RDCT,0.5,k=0.5,33.0,0.908583,8.385938,406.315,174.559,44.03,88.617,3600.0,3600.0,1428.551,2272.509,2.861934,80529.0,230400.0,4059.721
run0001,frame_0001,silveira_j3,Silveira j=3,0.5,k=0.5,32.849998,0.904368,8.341875,405.208,157.663,42.404,71.621,3600.0,3600.0,1420.226,2246.638,2.877051,80106.0,230400.0,4059.721
run0001,frame_0001,silveira_j7,Silveira j=7,0.5,k=0.5,33.25,0.910386,8.230625,414.123,182.94,51.162,96.956,3600.0,3600.0,1401.882,2261.945,2.915939,79038.0,230400.0,4059.721
run0001,frame_0001,loeffler,Loeffler,0.8,k=0.8,32.16,0.898148,6.275312,646.007,331.863,283.559,245.824,3600.0,3600.0,1070.29,2304.916,3.824511,60267.0,230400.0,4059.721
run0001,frame_0001,matrix,Matrix,0.8,k=0.8,32.16,0.898148,6.275312,1232.066,771.77,870.395,685.751,3600.0,3600.0,1070.297,3330.923,3.824511,60267.0,230400.0,4059.721
run0001,frame_0001,rdct,RDCT,0.8,k=0.8,31.360001,0.887218,6.477812,406.245,174.703,44.001,88.687,3600.0,3600.0,1105.461,1943.598,3.704954,62211.0,230400.0,4059.721
run0001,frame_0001,silveira_j3,Silveira j=3,0.8,k=0.8,31.200001,0.883081,6.382187,404.984,157.601,42.423,71.813,3600.0,3600.0,1088.283,1908.08,3.760466,61293.0,230400.0,4059.721
run0001,frame_0001,silveira_j7,Silveira j=7,0.8,k=0.8,31.639999,0.890183,6.365938,414.042,183.016,51.14,97.032,3600.0,3600.0,1087.028,1941.201,3.770065,61137.0,230400.0,4059.721
run0002,frame_0002,loeffler,Loeffler,0.1,k=0.1,38.830002,0.964743,23.518438,648.485,338.615,285.396,252.687,3600.0,3600.0,3978.588,5278.294,1.020476,225801.0,230400.0,4059.716
run0002,frame_0002,matrix,Matrix,0.1,k=0.1,38.830002,0.964743,23.518438,1234.975,778.691,872.194,692.621,3600.0,3600.0,3978.589,6304.505,1.020476,225801.0,230400.0,4059.716
run0002,frame_0002,rdct,RDCT,0.1,k=0.1,38.66,0.963309,24.900938,406.216,174.182,43.976,88.319,3600.0,3600.0,4212.284,5110.089,0.963819,239073.0,230400.0,4059.716
run0002,frame_0002,silveira_j3,Silveira j=3,0.1,k=0.1,38.959999,0.964453,24.978437,405.024,157.307,42.447,71.348,3600.0,3600.0,4227.988,5107.985,0.960829,239817.0,230400.0,4059.716
run0002,frame_0002,silveira_j7,Silveira j=7,0.1,k=0.1,38.91,0.96511,24.348749,413.596,182.706,51.203,96.849,3600.0,3600.0,4120.785,5033.096,0.985677,233772.0,230400.0,4059.716
run0002,frame_0002,loeffler,Loeffler,0.2,k=0.2,35.950001,0.947747,15.519062,647.4,335.952,285.408,249.891,3600.0,3600.0,2628.637,3898.335,1.546485,149007.0,230400.0,4059.716
run0002,frame_0002,matrix,Matrix,0.2,k=0.2,35.950001,0.947747,15.519062,1233.889,775.906,872.152,689.873,3600.0,3600.0,2628.634,4924.376,1.546485,149007.0,230400.0,4059.716
run0002,frame_0002,rdct,RDCT,0.2,k=0.2,35.34,0.940899,16.841875,406.193,174.51,44.01,88.484,3600.0,3600.0,2852.831,3724.107,1.42502,161706.0,230400.0,4059.716
run0002,frame_0002,silveira_j3,Silveira j=3,0.2,k=0.2,35.509998,0.941028,17.110937,404.97,157.416,42.37,71.434,3600.0,3600.0,2897.998,3752.109,1.402612,164289.0,230400.0,4059.716
run0002,frame_0002,silveira_j7,Silveira j=7,0.2,k=0.2,35.599998,0.944009,16.451876,413.669,182.907,51.187,96.792,3600.0,3600.0,2788.494,3674.836,1.4588,157962.0,230400.0,4059.716
run0002,frame_0002,loeffler,Loeffler,0.5,k=0.5,32.41,0.917669,9.625313,647.597,333.648,285.381,247.773,3600.0,3600.0,1636.532,2885.297,2.493426,92427.0,230400.0,4059.716
run0002,frame_0002,matrix,Matrix,0.5,k=0.5,32.41,0.917669,9.625313,1234.424,773.786,872.243,687.796,3600.0,3600.0,1636.537,3911.88,2.493426,92427.0,230400.0,4059.716
run0002,frame_0002,rdct,RDCT,0.5,k=0.5,31.52,0.904089,10.032187,406.275,174.549,43.955,88.469,3600.0,3600.0,1702.142,2551.26,2.3923,96333.0,230400.0,4059.716
run0002,frame_0002,silveira_j3,Silveira j=3,0.5,k=0.5,31.4,0.89936,10.129687,404.893,157.673,42.433,71.655,3600.0,3600.0,1719.397,2550.805,2.369273,97269.0,230400.0,4059.716
run0002,frame_0002,silveira_j7,Silveira j=7,0.5,k=0.5,31.77,0.907871,9.838125,413.613,182.938,51.17,96.861,3600.0,3600.0,1672.471,2537.37,2.439489,94470.0,230400.0,4059.716
run0002,frame_0002,loeffler,Loeffler,0.8,k=0.8,30.74,0.896011,7.478125,647.569,332.107,285.398,246.126,3600.0,3600.0,1275.454,2515.362,3.209361,71814.0,230400.0,4059.716
run0002,frame_0002,matrix,Matrix,0.8,k=0.8,30.74,0.896011,7.478125,1234.674,772.01,872.242,686.03,3600.0,3600.0,1275.455,3542.359,3.209361,71814.0,230400.0,4059.716
run0002,frame_0002,rdct,RDCT,0.8,k=0.8,29.76,0.879465,7.80375,406.3,174.732,43.99,88.591,3600.0,3600.0,1329.905,2172.342,3.075444,74940.0,230400.0,4059.716
run0002,frame_0002,silveira_j3,Silveira j=3,0.8,k=0.8,29.6,0.873539,7.763437,404.888,157.638,42.416,71.828,3600.0,3600.0,1321.858,2146.016,3.091414,74553.0,230400.0,4059.716
run0002,frame_0002,silveira_j7,Silveira j=7,0.8,k=0.8,30.09,0.884613,7.632812,414.185,183.019,51.242,97.029,3600.0,3600.0,1297.143,2155.28,3.144319,73299.0,230400.0,4059.716
run0004,frame_0004,loeffler,Loeffler,0.1,k=0.1,39.709999,0.954169,18.914062,645.892,336.401,282.478,250.422,3600.0,3600.0,3203.21,4483.631,1.268897,181599.0,230400.0,4059.719
run0004,frame_0004,matrix,Matrix,0.1,k=0.1,39.709999,0.954169,18.914062,1231.166,776.472,869.23,690.306,3600.0,3600.0,3203.213,5508.192,1.268897,181599.0,230400.0,4059.719
run0004,frame_0004,rdct,RDCT,0.1,k=0.1,39.540001,0.952286,19.30125,406.228,174.258,44.011,88.407,3600.0,3600.0,3267.287,4147.145,1.243443,185316.0,230400.0,4059.719
run0004,frame_0004,silveira_j3,Silveira j=3,0.1,k=0.1,39.68,0.953271,19.783125,404.881,157.411,42.441,71.47,3600.0,3600.0,3348.407,4211.687,1.213155,189942.0,230400.0,4059.719
run0004,frame_0004,silveira_j7,Silveira j=7,0.1,k=0.1,39.77,0.954567,19.092812,413.824,182.771,51.172,96.899,3600.0,3600.0,3231.652,4127.225,1.257017,183315.0,230400.0,4059.719
run0004,frame_0004,loeffler,Loeffler,0.2,k=0.2,37.619999,0.93673,11.92625,644.843,334.071,282.422,248.015,3600.0,3600.0,2024.124,3277.957,2.012368,114516.0,230400.0,4059.719
run0004,frame_0004,matrix,Matrix,0.2,k=0.2,37.619999,0.93673,11.92625,1230.602,774.027,869.25,688.002,3600.0,3600.0,2024.117,4303.281,2.012368,114516.0,230400.0,4059.719
run0004,frame_0004,rdct,RDCT,0.2,k=0.2,37.09,0.931266,12.56625,406.268,174.571,43.985,88.518,3600.0,3600.0,2132.131,2989.543,1.909878,120660.0,230400.0,4059.719
run0004,frame_0004,silveira_j3,Silveira j=3,0.2,k=0.2,37.150002,0.930311,12.785313,404.995,157.539,42.413,71.571,3600.0,3600.0,2168.548,3008.691,1.877154,122763.0,230400.0,4059.719
run0004,frame_0004,silveira_j7,Silveira j=7,0.2,k=0.2,37.349998,0.934036,12.405,413.635,182.987,51.202,96.982,3600.0,3600.0,2105.0,2978.191,1.934704,119112.0,230400.0,4059.719
run0004,frame_0004,loeffler,Loeffler,0.5,k=0.5,34.860001,0.909797,6.852188,644.86,332.026,282.464,246.187,3600.0,3600.0,1168.55,2403.492,3.502531,65805.0,230400.0,4059.719
run0004,frame_0004,matrix,Matrix,0.5,k=0.5,34.860001,0.909797,6.852188,1231.196,772.166,869.126,686.182,3600.0,3600.0,1168.551,3430.194,3.502531,65805.0,230400.0,4059.719
run0004,frame_0004,rdct,RDCT,0.5,k=0.5,34.139999,0.900999,7.010938,406.208,174.637,44.022,88.697,3600.0,3600.0,1195.458,2034.783,3.423223,67329.0,230400.0,4059.719
run0004,frame_0004,silveira_j3,Silveira j=3,0.5,k=0.5,34.040001,0.89636,7.01375,404.921,157.794,42.463,71.723,3600.0,3600.0,1195.64,2017.285,3.42185,67356.0,230400.0,4059.719
run0004,frame_0004,silveira_j7,Silveira j=7,0.5,k=0.5,34.41,0.903905,6.911562,414.052,183.007,51.169,96.99,3600.0,3600.0,1178.001,2033.465,3.472442,66375.0,230400.0,4059.719
run0004,frame_0004,loeffler,Loeffler,0.8,k=0.8,33.419998,0.891597,5.235312,644.794,330.28,282.439,244.27,3600.0,3600.0,897.232,2125.182,4.584254,50283.0,230400.0,4059.719
run0004,frame_0004,matrix,Matrix,0.8,k=0.8,33.419998,0.891597,5.235312,1231.331,770.174,869.173,684.156,3600.0,3600.0,897.237,3151.742,4.584254,50283.0,230400.0,4059.719
run0004,frame_0004,rdct,RDCT,0.8,k=0.8,32.689999,0.881072,5.347188,406.198,174.816,44.021,88.702,3600.0,3600.0,915.649,1749.786,4.488341,51357.0,230400.0,4059.719
run0004,frame_0004,silveira_j3,Silveira j=3,0.8,k=0.8,32.509998,0.874968,5.30125,404.895,157.76,42.414,71.929,3600.0,3600.0,907.18,1723.06,4.527234,50916.0,230400.0,4059.719
run0004,frame_0004,silveira_j7,Silveira j=7,0.8,k=0.8,32.970001,0.883949,5.285937,414.163,183.081,51.186,97.103,3600.0,3600.0,901.132,1751.577,4.540349,50769.0,230400.0,4059.719
run0005,frame_0005,loeffler,Loeffler,0.1,k=0.1,38.41,0.984786,26.489063,650.632,340.519,287.01,254.512,3600.0,3600.0,4481.337,5795.077,0.906034,254319.0,230400.0,4059.722
run0005,frame_0005,matrix,Matrix,0.1,k=0.1,38.41,0.984786,26.489063,1235.333,780.602,873.724,694.512,3600.0,3600.0,4481.344,6820.011,0.906034,254319.0,230400.0,4059.722
run0005,frame_0005,rdct,RDCT,0.1,k=0.1,38.200001,0.984004,28.764376,406.236,174.059,43.992,88.136,3600.0,3600.0,4866.975,5779.969,0.834365,276162.0,230400.0,4059.722
run0005,frame_0005,silveira_j3,Silveira j=3,0.1,k=0.1,38.57,0.984755,28.642813,405.011,157.154,42.387,71.174,3600.0,3600.0,4842.921,5737.239,0.837907,274995.0,230400.0,4059.722
run0005,frame_0005,silveira_j7,Silveira j=7,0.1,k=0.1,38.400002,0.984759,27.81875,413.759,182.588,51.204,96.707,3600.0,3600.0,4706.051,5632.296,0.862727,267084.0,230400.0,4059.722
run0005,frame_0005,loeffler,Loeffler,0.2,k=0.2,35.16,0.974653,18.192499,648.941,337.992,286.969,252.021,3600.0,3600.0,3079.162,4361.438,1.319225,174672.0,230400.0,4059.722
run0005,frame_0005,matrix,Matrix,0.2,k=0.2,35.16,0.974653,18.192499,1235.638,777.928,873.796,691.932,3600.0,3600.0,3079.163,5387.864,1.319225,174672.0,230400.0,4059.722
run0005,frame_0005,rdct,RDCT,0.2,k=0.2,34.369999,0.971005,19.877188,406.248,174.419,44.014,88.349,3600.0,3600.0,3365.469,4247.102,1.207414,190845.0,230400.0,4059.722
run0005,frame_0005,silveira_j3,Silveira j=3,0.2,k=0.2,34.59,0.971446,20.200937,404.896,157.293,42.445,71.317,3600.0,3600.0,3419.733,4284.046,1.188064,193953.0,230400.0,4059.722
run0005,frame_0005,silveira_j7,Silveira j=7,0.2,k=0.2,34.73,0.972884,19.280001,413.678,182.845,51.189,96.722,3600.0,3600.0,3265.606,4161.405,1.244813,185112.0,230400.0,4059.722
run0005,frame_0005,loeffler,Loeffler,0.5,k=0.5,31.24,0.9531,12.012188,649.315,335.526,286.972,249.762,3600.0,3600.0,2040.511,3300.657,1.997971,115341.0,230400.0,4059.722
run0005,frame_0005,matrix,Matrix,0.5,k=0.5,31.24,0.9531,12.012188,1235.802,775.645,873.713,689.594,3600.0,3600.0,2040.513,4326.958,1.997971,115341.0,230400.0,4059.722
run0005,frame_0005,rdct,RDCT,0.5,k=0.5,30.290001,0.945874,12.403125,406.199,174.465,44.025,88.533,3600.0,3600.0,2104.889,2961.77,1.934996,119094.0,230400.0,4059.722
run0005,frame_0005,silveira_j3,Silveira j=3,0.5,k=0.5,30.190001,0.943615,12.490937,405.461,157.493,42.392,71.412,3600.0,3600.0,2121.384,2961.326,1.921393,119937.0,230400.0,4059.722
run0005,frame_0005,silveira_j7,Silveira j=7,0.5,k=0.5,30.68,0.948736,12.19125,413.758,182.829,51.169,96.711,3600.0,3600.0,2068.967,2941.694,1.968625,117060.0,230400.0,4059.722
run0005,frame_0005,loeffler,Loeffler,0.8,k=0.8,29.42,0.937767,9.593437,649.838,334.555,287.069,248.524,3600.0,3600.0,1629.181,2881.033,2.50171,92121.0,230400.0,4059.722
run0005,frame_0005,matrix,Matrix,0.8,k=0.8,29.42,0.937767,9.593437,1236.538,774.471,873.695,688.576,3600.0,3600.0,1629.191,3907.829,2.50171,92121.0,230400.0,4059.722
run0005,frame_0005,rdct,RDCT,0.8,k=0.8,28.559999,0.929014,9.820625,406.214,174.615,43.981,88.547,3600.0,3600.0,1671.126,2520.12,2.443836,94302.0,230400.0,4059.722
run0005,frame_0005,silveira_j3,Silveira j=3,0.8,k=0.8,28.42,0.926681,9.812813,405.01,157.405,42.365,71.548,3600.0,3600.0,1665.611,2496.473,2.445782,94227.0,230400.0,4059.722
run0005,frame_0005,silveira_j7,Silveira j=7,0.8,k=0.8,28.879999,0.932472,9.70875,413.686,182.893,51.178,96.907,3600.0,3600.0,1647.833,2512.806,2.471997,93228.0,230400.0,4059.722
run0009,frame_0009,loeffler,Loeffler,0.1,k=0.1,39.150002,0.964995,21.895313,648.265,338.827,284.723,252.916,3600.0,3600.0,3706.796,5001.016,1.096125,210219.0,230400.0,4059.722
run0009,frame_0009,matrix,Matrix,0.1,k=0.1,39.150002,0.964995,21.895313,1233.45,778.917,871.481,692.931,3600.0,3600.0,3706.796,6025.987,1.096125,210219.0,230400.0,4059.722
run0009,frame_0009,rdct,RDCT,0.1,k=0.1,39.0,0.963624,22.801874,406.222,174.27,44.023,88.486,3600.0,3600.0,3859.794,4750.715,1.052545,218922.0,230400.0,4059.722
run0009,frame_0009,silveira_j3,Silveira j=3,0.1,k=0.1,39.220001,0.964617,22.987812,405.053,157.436,42.442,71.484,3600.0,3600.0,3888.772,4762.326,1.044032,220707.0,230400.0,4059.722
run0009,frame_0009,silveira_j7,Silveira j=7,0.1,k=0.1,39.23,0.965381,22.258751,413.7,182.782,51.179,96.699,3600.0,3600.0,3769.005,4674.44,1.078228,213708.0,230400.0,4059.722
run0009,frame_0009,loeffler,Loeffler,0.2,k=0.2,36.560001,0.949834,14.409062,646.745,336.588,284.702,250.605,3600.0,3600.0,2445.27,3711.218,1.665618,138351.0,230400.0,4059.722
run0009,frame_0009,matrix,Matrix,0.2,k=0.2,36.560001,0.949834,14.409062,1233.501,776.533,871.511,690.405,3600.0,3600.0,2445.281,4737.508,1.665618,138351.0,230400.0,4059.722
run0009,frame_0009,rdct,RDCT,0.2,k=0.2,35.959999,0.94407,15.365,406.387,174.578,44.006,88.505,3600.0,3600.0,2602.103,3468.489,1.561992,147528.0,230400.0,4059.722
run0009,frame_0009,silveira_j3,Silveira j=3,0.2,k=0.2,36.080002,0.943913,15.540625,405.149,157.562,42.392,71.568,3600.0,3600.0,2635.146,3484.138,1.544339,149214.0,230400.0,4059.722
run0009,frame_0009,silveira_j7,Silveira j=7,0.2,k=0.2,36.27,0.946833,15.040625,413.632,183.001,51.191,96.915,3600.0,3600.0,2547.722,3429.31,1.595678,144414.0,230400.0,4059.722
run0009,frame_0009,loeffler,Loeffler,0.5,k=0.5,33.279999,0.921707,8.904375,646.926,334.465,284.788,248.671,3600.0,3600.0,1512.529,2759.121,2.695304,85506.0,230400.0,4059.722
run0009,frame_0009,matrix,Matrix,0.5,k=0.5,33.279999,0.921707,8.904375,1233.9,774.592,871.492,688.567,3600.0,3600.0,1512.523,3785.754,2.695304,85506.0,230400.0,4059.722
run0009,frame_0009,rdct,RDCT,0.5,k=0.5,32.48,0.911748,9.115625,406.217,174.622,44.035,88.759,3600.0,3600.0,1548.373,2394.511,2.632842,87534.0,230400.0,4059.722
run0009,frame_0009,silveira_j3,Silveira j=3,0.5,k=0.5,32.43,0.908403,9.082812,404.952,157.782,42.464,71.822,3600.0,3600.0,1545.796,2374.163,2.642353,87219.0,230400.0,4059.722
run0009,frame_0009,silveira_j7,Silveira j=7,0.5,k=0.5,32.810001,0.915406,8.941875,413.696,183.013,51.173,97.052,3600.0,3600.0,1520.275,2382.412,2.684001,85866.0,230400.0,4059.722
run0009,frame_0009,loeffler,Loeffler,0.8,k=0.8,31.690001,0.901223,6.875937,647.138,333.186,284.778,247.171,3600.0,3600.0,1170.382,2409.003,3.490433,66033.0,230400.0,4059.722
run0009,frame_0009,matrix,Matrix,0.8,k=0.8,31.690001,0.901223,6.875937,1233.485,773.077,871.514,686.985,3600.0,3600.0,1170.392,3435.217,3.490433,66033.0,230400.0,4059.722
run0009,frame_0009,rdct,RDCT,0.8,k=0.8,30.85,0.8883,7.032813,406.295,174.788,44.016,88.699,3600.0,3600.0,1197.144,2037.153,3.412575,67539.0,230400.0,4059.722
run0009,frame_0009,silveira_j3,Silveira j=3,0.8,k=0.8,30.75,0.884269,6.972188,405.016,157.713,42.464,71.943,3600.0,3600.0,1187.537,2009.356,3.442248,66957.0,230400.0,4059.722
run0009,frame_0009,silveira_j7,Silveira j=7,0.8,k=0.8,31.200001,0.892387,6.928438,414.031,183.072,51.157,97.091,3600.0,3600.0,1179.289,2035.17,3.463984,66537.0,230400.0,4059.722
run0010,frame_0010,loeffler,Loeffler,0.1,k=0.1,39.16,0.962279,21.895,647.284,338.335,284.402,252.346,3600.0,3600.0,3706.767,5000.474,1.096141,210216.0,230400.0,4059.719
run0010,frame_0010,matrix,Matrix,0.1,k=0.1,39.16,0.962279,21.895,1232.861,778.435,871.196,692.479,3600.0,3600.0,3706.769,6025.365,1.096141,210216.0,230400.0,4059.719
run0010,frame_0010,rdct,RDCT,0.1,k=0.1,39.029999,0.960743,22.846251,406.244,174.185,44.032,88.327,3600.0,3600.0,3868.09,4759.633,1.050501,219348.0,230400.0,4059.719
