run,method,k,bpp,frame_bytes,raw_bytes,compression_ratio,tx_ms,tx_raw_ms
run0001,loeffler,0.1,20.834375,200034.0,230400.0,1.151942,3527.237,4059.721
run0001,matrix,0.1,20.834375,200034.0,230400.0,1.151942,3527.241,4059.721
run0001,rdct,0.1,21.444063,205887.0,230400.0,1.119191,3628.03,4059.721
run0001,silveira_j3,0.1,21.7325,208656.0,230400.0,1.104337,3679.548,4059.721
run0001,silveira_j7,0.1,21.091875,202506.0,230400.0,1.137879,3571.495,4059.721
run0001,loeffler,0.2,13.554375,130146.0,230400.0,1.770646,2301.165,4059.721
run0001,matrix,0.2,13.554375,130146.0,230400.0,1.770646,2301.169,4059.721
run0001,rdct,0.2,14.31625,137460.0,230400.0,1.676417,2428.358,4059.721
run0001,silveira_j3,0.2,14.519688,139413.0,230400.0,1.652928,2463.564,4059.721
run0001,silveira_j7,0.2,14.112812,135507.0,230400.0,1.700582,2393.085,4059.721
run0001,loeffler,0.5,8.098125,77766.0,230400.0,2.963649,1377.047,4059.721
run0001,matrix,0.5,8.098125,77766.0,230400.0,2.963649,1377.05,4059.721
run0001,rdct,0.5,8.385938,80529.0,230400.0,2.861934,1428.551,4059.721
run0001,silveira_j3,0.5,8.341875,80106.0,230400.0,2.877051,1420.226,4059.721
run0001,silveira_j7,0.5,8.230625,79038.0,230400.0,2.915939,1401.882,4059.721
run0001,loeffler,0.8,6.275312,60267.0,230400.0,3.824511,1070.29,4059.721
run0001,matrix,0.8,6.275312,60267.0,230400.0,3.824511,1070.297,4059.721
run0001,rdct,0.8,6.477812,62211.0,230400.0,3.704954,1105.461,4059.721
run0001,silveira_j3,0.8,6.382187,61293.0,230400.0,3.760466,1088.283,4059.721
run0001,silveira_j7,0.8,6.365938,61137.0,230400.0,3.770065,1087.028,4059.721
run0002,loeffler,0.1,23.518438,225801.0,230400.0,1.020476,3978.588,4059.716
run0002,matrix,0.1,23.518438,225801.0,230400.0,1.020476,3978.589,4059.716
run0002,rdct,0.1,24.900938,239073.0,230400.0,0.963819,4212.284,4059.716
run0002,silveira_j3,0.1,24.978437,239817.0,230400.0,0.960829,4227.988,4059.716
run0002,silveira_j7,0.1,24.348749,233772.0,230400.0,0.985677,4120.785,4059.716
run0002,loeffler,0.2,15.519062,149007.0,230400.0,1.546485,2628.637,4059.716
run0002,matrix,0.2,15.519062,149007.0,230400.0,1.546485,2628.634,4059.716
run0002,rdct,0.2,16.841875,161706.0,230400.0,1.42502,2852.831,4059.716
run0002,silveira_j3,0.2,17.110937,164289.0,230400.0,1.402612,2897.998,4059.716
run0002,silveira_j7,0.2,16.451876,157962.0,230400.0,1.4588,2788.494,4059.716
run0002,loeffler,0.5,9.625313,92427.0,230400.0,2.493426,1636.532,4059.716
run0002,matrix,0.5,9.625313,92427.0,230400.0,2.493426,1636.537,4059.716
run0002,rdct,0.5,10.032187,96333.0,230400.0,2.3923,1702.142,4059.716
run0002,silveira_j3,0.5,10.129687,97269.0,230400.0,2.369273,1719.397,4059.716
run0002,silveira_j7,0.5,9.838125,94470.0,230400.0,2.439489,1672.471,4059.716
run0002,loeffler,0.8,7.478125,71814.0,230400.0,3.209361,1275.454,4059.716
run0002,matrix,0.8,7.478125,71814.0,230400.0,3.209361,1275.455,4059.716
run0002,rdct,0.8,7.80375,74940.0,230400.0,3.075444,1329.905,4059.716
run0002,silveira_j3,0.8,7.763437,74553.0,230400.0,3.091414,1321.858,4059.716
run0002,silveira_j7,0.8,7.632812,73299.0,230400.0,3.144319,1297.143,4059.716
run0004,loeffler,0.1,18.914062,181599.0,230400.0,1.268897,3203.21,4059.719
run0004,matrix,0.1,18.914062,181599.0,230400.0,1.268897,3203.213,4059.719
run0004,rdct,0.1,19.30125,185316.0,230400.0,1.243443,3267.287,4059.719
run0004,silveira_j3,0.1,19.783125,189942.0,230400.0,1.213155,3348.407,4059.719
run0004,silveira_j7,0.1,19.092812,183315.0,230400.0,1.257017,3231.652,4059.719
run0004,loeffler,0.2,11.92625,114516.0,230400.0,2.012368,2024.124,4059.719
run0004,matrix,0.2,11.92625,114516.0,230400.0,2.012368,2024.117,4059.719
run0004,rdct,0.2,12.56625,120660.0,230400.0,1.909878,2132.131,4059.719
run0004,silveira_j3,0.2,12.785313,122763.0,230400.0,1.877154,2168.548,4059.719
run0004,silveira_j7,0.2,12.405,119112.0,230400.0,1.934704,2105.0,4059.719
run0004,loeffler,0.5,6.852188,65805.0,230400.0,3.502531,1168.55,4059.719
run0004,matrix,0.5,6.852188,65805.0,230400.0,3.502531,1168.551,4059.719
run0004,rdct,0.5,7.010938,67329.0,230400.0,3.423223,1195.458,4059.719
run0004,silveira_j3,0.5,7.01375,67356.0,230400.0,3.42185,1195.64,4059.719
run0004,silveira_j7,0.5,6.911562,66375.0,230400.0,3.472442,1178.001,4059.719
run0004,loeffler,0.8,5.235312,50283.0,230400.0,4.584254,897.232,4059.719
run0004,matrix,0.8,5.235312,50283.0,230400.0,4.584254,897.237,4059.719
run0004,rdct,0.8,5.347188,51357.0,230400.0,4.488341,915.649,4059.719
run0004,silveira_j3,0.8,5.30125,50916.0,230400.0,4.527234,907.18,4059.719
run0004,silveira_j7,0.8,5.285937,50769.0,230400.0,4.540349,901.132,4059.719
run0005,loeffler,0.1,26.489063,254319.0,230400.0,0.906034,4481.337,4059.722
run0005,matrix,0.1,26.489063,254319.0,230400.0,0.906034,4481.344,4059.722
run0005,rdct,0.1,28.764376,276162.0,230400.0,0.834365,4866.975,4059.722
run0005,silveira_j3,0.1,28.642813,274995.0,230400.0,0.837907,4842.921,4059.722
run0005,silveira_j7,0.1,27.81875,267084.0,230400.0,0.862727,4706.051,4059.722
run0005,loeffler,0.2,18.192499,174672.0,230400.0,1.319225,3079.162,4059.722
run0005,matrix,0.2,18.192499,174672.0,230400.0,1.319225,3079.163,4059.722
run0005,rdct,0.2,19.877188,190845.0,230400.0,1.207414,3365.469,4059.722
run0005,silveira_j3,0.2,20.200937,193953.0,230400.0,1.188064,3419.733,4059.722
run0005,silveira_j7,0.2,19.280001,185112.0,230400.0,1.244813,3265.606,4059.722
run0005,loeffler,0.5,12.012188,115341.0,230400.0,1.997971,2040.511,4059.722
run0005,matrix,0.5,12.012188,115341.0,230400.0,1.997971,2040.513,4059.722
run0005,rdct,0.5,12.403125,119094.0,230400.0,1.934996,2104.889,4059.722
run0005,silveira_j3,0.5,12.490937,119937.0,230400.0,1.921393,2121.384,4059.722
run0005,silveira_j7,0.5,12.19125,117060.0,230400.0,1.968625,2068.967,4059.722
run0005,loeffler,0.8,9.593437,92121.0,230400.0,2.50171,1629.181,4059.722
run0005,matrix,0.8,9.593437,92121.0,230400.0,2.50171,1629.191,4059.722
run0005,rdct,0.8,9.820625,94302.0,230400.0,2.443836,1671.126,4059.722
run0005,silveira_j3,0.8,9.812813,94227.0,230400.0,2.445782,1665.611,4059.722
run0005,silveira_j7,0.8,9.70875,93228.0,230400.0,2.471997,1647.833,4059.722
run0009,loeffler,0.1,21.895313,210219.0,230400.0,1.096125,3706.796,4059.722
run0009,matrix,0.1,21.895313,210219.0,230400.0,1.096125,3706.796,4059.722
run0009,rdct,0.1,22.801874,218922.0,230400.0,1.052545,3859.794,4059.722
run0009,silveira_j3,0.1,22.987812,220707.0,230400.0,1.044032,3888.772,4059.722
run0009,silveira_j7,0.1,22.258751,213708.0,230400.0,1.078228,3769.005,4059.722
run0009,loeffler,0.2,14.409062,138351.0,230400.0,1.665618,2445.27,4059.722
run0009,matrix,0.2,14.409062,138351.0,230400.0,1.665618,2445.281,4059.722
run0009,rdct,0.2,15.365,147528.0,230400.0,1.561992,2602.103,4059.722
