platform,mean_scope,method,label,k,k_label,psnr,ssim,bpp,compress_ms,decompress_ms
python,dataset_mean,loeffler,Loeffler,0.1,k=0.1,43.95111632,0.98409935,14.82790685,2966.19858700,3303.02501400
python,dataset_mean,loeffler,Loeffler,0.2,k=0.2,41.31491870,0.97714642,10.68623045,2939.61204300,3277.60558500
python,dataset_mean,loeffler,Loeffler,0.5,k=0.5,37.53217812,0.96338411,7.54011058,2994.84997300,3362.16172400
python,dataset_mean,loeffler,Loeffler,0.8,k=0.8,33.96406861,0.93901339,6.08554987,3016.72695500,3386.22449100
python,dataset_mean,matrix,Matrix,0.1,k=0.1,43.95110855,0.98409927,14.82791448,6983.40865200,7179.70166300
python,dataset_mean,matrix,Matrix,0.2,k=0.2,41.31490506,0.97714627,10.68623045,7064.31265000,7286.57963900
python,dataset_mean,matrix,Matrix,0.5,k=0.5,37.53217718,0.96338411,7.54011058,7101.55488100,7233.29196600
python,dataset_mean,matrix,Matrix,0.8,k=0.8,33.96406618,0.93901336,6.08554135,7145.85618400,7294.10489300
python,dataset_mean,rdct,RDCT,0.1,k=0.1,42.04989004,0.98108597,17.20385867,1015.84422800,1404.56560600
python,dataset_mean,rdct,RDCT,0.2,k=0.2,38.61135135,0.96896903,12.34181376,1030.56135600,1368.84100400
python,dataset_mean,rdct,RDCT,0.5,k=0.5,34.62425454,0.94435012,7.94253928,1052.66130600,1353.73914500
python,dataset_mean,rdct,RDCT,0.8,k=0.8,32.46382780,0.92131731,6.34779528,1069.51891600,1363.51824400
python,dataset_mean,silveira_j3,Silveira j=3,0.1,k=0.1,41.93072626,0.98075294,18.13942539,997.77560700,1383.59166800
python,dataset_mean,silveira_j3,Silveira j=3,0.2,k=0.2,38.31780155,0.96711401,12.90143057,997.01597400,1345.50598400
python,dataset_mean,silveira_j3,Silveira j=3,0.5,k=0.5,34.07220214,0.93737244,8.14299261,1013.86979700,1314.96112400
python,dataset_mean,silveira_j3,Silveira j=3,0.8,k=0.8,32.12804007,0.91352792,6.42628491,1011.12123100,1324.42710900
python,dataset_mean,silveira_j7,Silveira j=7,0.1,k=0.1,42.64843284,0.98298469,16.51291347,1204.22998900,1638.92853100
python,dataset_mean,silveira_j7,Silveira j=7,0.2,k=0.2,39.25468828,0.97221670,11.93250126,1199.54228200,1643.10359800
python,dataset_mean,silveira_j7,Silveira j=7,0.5,k=0.5,35.27514638,0.94967026,7.83181074,1196.25943400,1592.93824100
python,dataset_mean,silveira_j7,Silveira j=7,0.8,k=0.8,33.02074668,0.92705488,6.29365766,1206.80138600,1598.92581600
